,title,price,url,source
72,Shining Fates - Cramorant V Tin,59.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-shining-fates-cramorant-v-tin,TotalCards
73,Scarlet & Violet - Paldean Fates - Booster Bundle,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-booster-bundle,TotalCards
74,Scarlet & Violet - 151 - Binder Collection,149.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-151-binder-collection,TotalCards
75,Scarlet & Violet - White Flare - Japanese Booster Pack,5.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-white-flare-japanese-booster-pack,TotalCards
76,V Battle Deck Bundle - Blastoise Vs. Venusaur,22.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-blastoise-venusaur-v-battle-deck-bundle,TotalCards
77,Celebrations - Collector Chest,69.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-celebrations-collector-chest,TotalCards
78,Galarian Sirfetch'd V Box,34.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-galarian-sirfetch-d-v-box,TotalCards
79,XY - Evolutions - Booster Pack,49.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-xy-evolutions-booster-pack,TotalCards
80,League Battle Deck - Zacian V,99.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-league-battle-deck-zacian-v,TotalCards
81,Eternatus VMAX Premium Collection,69.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-eternatus-vmax-premium-collection,TotalCards
82,Scarlet & Violet - Paldean Fates - Tech Sticker Collection - Greavard,16.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-tech-sticker-collection-greavard,TotalCards
83,Scarlet & Violet - Black Bolt - Japanese Booster Pack,5.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-black-bolt-japanese-booster-pack,TotalCards
84,2020 Fall Collector Chest Tin,29.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-2020-fall-collector-chest-tin,TotalCards
85,Scarlet & Violet - Paldean Fates - Tech Sticker Collection - Fidough,16.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-tech-sticker-collection-fidough,TotalCards
86,Scarlet & Violet - Paldean Fates - Shiny Tera Charizard ex Tin,89.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-shiny-tera-charizard-ex-tin,TotalCards
87,Sword & Shield - Crown Zenith - Booster Pack,17.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-booster-pack,TotalCards
88,Sword & Shield - Crown Zenith - Shiny Zacian Premium Figure Collection,57.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-shiny-zacian-premium-figure-collection,TotalCards
89,Scarlet & Violet - Paldean Fates - Tech Sticker Collection - Maschiff,16.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-tech-sticker-collection-maschiff,TotalCards
90,Sword & Shield - Crown Zenith - Morpeko V-Union Premium Playmat Collection,69.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-morpeko-v-union-premium-playmat-collection,TotalCards
91,Sword & Shield - Ultra Premium Collection,97.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-ultra-premium-collection,TotalCards
92,Sword & Shield - Crown Zenith - Shiny Zamazenta Premium Figure Collection,57.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-shiny-zamazenta-premium-figure-collection,TotalCards
93,Mega Evolution - Nihil Zero - Japanese Booster Pack,3.75,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mega-evolution-nihil-zero-japanese-booster-pack,TotalCards
94,Trick or Trade - Booster Pack,2.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-trick-or-trade-booster-pack,TotalCards
95,Scarlet & Violet - Stellar Crown - Booster Box (36 Boosters),114.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-stellar-crown-booster-box-36-boosters,TotalCards
96,Sword & Shield Collector's Chest - Spring 2021,23.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-collector-s-chest-spring-2021,TotalCards
97,Sword & Shield - Crown Zenith - Pikachu VMAX Special Collection,89.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-crown-zenith-pikachu-vmax-special-collection,TotalCards
98,Holiday Calendar,44.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-holiday-calendar,TotalCards
99,"Crown Zenith - 7"" Tin - Galarian Zapdos",24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-crown-zenith-7-tin-galarian-zapdos,TotalCards
100,"Crown Zenith - 7"" Tin - Galarian Articuno",24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-crown-zenith-7-tin-galarian-articuno,TotalCards
101,Scarlet & Violet Collector's Chest - Spring 2023,26.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-collectors-chest-spring-2023,TotalCards
102,"Crown Zenith - 7"" Tin - Galarian Moltres",24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-crown-zenith-7-tin-galarian-moltres,TotalCards
103,Mystery Card Bundle - 50 Cards!,3.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-mystery-card-bundle-50-cards,TotalCards
104,Galarian Rapidash V Box,39.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-galarian-rapidash-v-box,TotalCards
105,Scarlet & Violet - Paldean Fates - Shiny Great Tusk ex Tin,39.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-shiny-great-tusk-ex-tin,TotalCards
106,Scarlet & Violet - Obsidian Flames - Build & Battle Stadium,67.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-obsidian-flames-build-battle-stadium,TotalCards
107,Sword & Shield - Astral Radiance - 3 Pack Blister - Sylveon,29.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-astral-radiance-3-pack-blister-sylveon,TotalCards
108,Sword & Shield - Astral Radiance - 3 Pack Blister - Eevee,29.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-astral-radiance-3-pack-blister-eevee,TotalCards
109,Scarlet & Violet - Paldean Fates - Shiny Iron Treads ex Tin,39.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-shiny-iron-treads-ex-tin,TotalCards
110,Pokemon Go - Pikachu Tin,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-pokemon-go-pikachu-tin,TotalCards
111,Combined Powers - Premium Collection,69.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-combined-powers-premium-collection,TotalCards
112,Scarlet & Violet - Paldean Fates - Premium Collection - Shiny Skeledirge ex,49.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-premium-collection-shiny-skeledirge-ex,TotalCards
113,Scarlet & Violet - Paldean Fates - Premium Collection - Shiny Meowscarada ex,49.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-premium-collection-shiny-meowscarada-ex,TotalCards
114,Scarlet & Violet - Prismatic Evolutions - Elite Trainer Box - Card Sleeves (65 Sleeves),3.45,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-prismatic-evolutions-elite-trainer-box-card-sleeves-65-sleeves,TotalCards
115,Scarlet & Violet - Twilight Masquerade - Booster Box (36 Boosters),114.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-twilight-masquerade-booster-box-36-boosters,TotalCards
116,Sun & Moon - Base Set - Booster Pack,24.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sun-moon-base-set-booster-pack,TotalCards
117,Sword & Shield - Champions Path - Booster Pack,19.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-sword-shield-champions-path-booster-pack,TotalCards
118,Klara - Premium Tournament Collection,34.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-klara-premium-tournament-collection,TotalCards
119,Pikachu V Box (2022),19.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-pikachu-v-box-2022,TotalCards
120,"Scarlet & Violet - Paldean Fates - 7"" Tin - Shiny Great Tusk ex",26.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-7-tin-shiny-great-tusk-ex,TotalCards
121,"Scarlet & Violet - Paldean Fates - 7"" Tin - Shiny Iron Treads ex",26.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-scarlet-violet-paldean-fates-7-tin-shiny-iron-treads-ex,TotalCards
122,V Battle Deck Bundle - Lycanroc vs Corviknight,23.95,https://totalcards.net/collections/view-all-pokemon/products/pokemon-v-battle-deck-bundle-lycanroc-vs-corviknight,TotalCards
